index,round,team,opponent_team,prev_team_ranking,team_ranking_diff,opponent_ranking,was_home,team_h_score,team_a_score,clean_sheets,goals_scored,season,team_name
1189,27,13,18,3.0,1.0,2.0,False,3,4,False,True,2016-17,SOU
166,30,18,15,2.0,0.0,2.0,True,1,0,True,True,2016-17,WAT
432,30,15,18,2.0,0.0,2.0,False,1,0,False,False,2016-17,SUD
167,31,18,19,3.0,0.0,3.0,True,2,0,True,True,2016-17,WAT
1259,31,19,18,3.0,0.0,3.0,False,2,0,False,False,2016-17,WBA
168,32,18,17,3.0,-2.0,5.0,False,4,0,False,False,2016-17,WAT
1321,32,17,18,5.0,2.0,3.0,True,4,0,True,True,2016-17,TOT
169,33,18,16,3.0,1.0,2.0,True,1,0,True,True,2016-17,WAT
1434,33,16,18,2.0,-1.0,3.0,False,1,0,False,False,2016-17,SWA
170,34,18,7,3.0,1.0,2.0,False,2,0,False,False,2016-17,WAT
247,34,7,18,2.0,-1.0,3.0,True,2,0,True,True,2016-17,HUL
171,35,18,9,3.0,-1.0,4.0,True,0,1,False,False,2016-17,WAT
400,35,9,18,4.0,1.0,3.0,False,0,1,True,True,2016-17,LIV
172,36,18,8,2.0,-1.0,3.0,False,3,0,False,False,2016-17,WAT
830,36,8,18,3.0,1.0,2.0,True,3,0,True,True,2016-17,LEI
174,37,18,4,2.0,-3.0,5.0,False,4,3,False,True,2016-17,WAT
212,37,4,18,5.0,3.0,2.0,True,4,3,False,True,2016-17,CHE
175,38,18,10,2.0,-2.0,4.0,True,0,5,False,False,2016-17,WAT
1011,38,10,18,4.0,2.0,2.0,False,0,5,True,True,2016-17,MCI
178,3,4,3,4.0,1.0,3.0,True,3,0,True,True,2016-17,CHE
835,3,3,4,3.0,-1.0,4.0,False,3,0,False,False,2016-17,BUR
179,4,4,16,4.0,1.0,3.0,False,2,2,False,True,2016-17,CHE
1405,4,16,4,3.0,-1.0,4.0,True,2,2,False,True,2016-17,SWA
370,5,9,4,4.0,-1.0,5.0,False,1,2,False,True,2016-17,LIV
180,5,4,9,5.0,1.0,4.0,True,1,2,False,True,2016-17,CHE
220,7,7,4,3.0,0.0,3.0,True,0,2,False,False,2016-17,HUL
182,7,4,7,3.0,0.0,3.0,False,0,2,True,True,2016-17,CHE
183,8,4,8,3.0,0.0,3.0,True,3,0,True,True,2016-17,CHE
803,8,8,4,3.0,0.0,3.0,False,3,0,False,False,2016-17,LEI
184,9,4,11,4.0,1.0,3.0,True,4,0,True,True,2016-17,CHE
1577,9,11,4,3.0,-1.0,4.0,False,4,0,False,False,2016-17,MUN
185,10,4,13,4.0,1.0,3.0,False,0,2,True,True,2016-17,CHE
1173,10,13,4,3.0,-1.0,4.0,True,0,2,False,False,2016-17,SOU
187,12,4,12,5.0,3.0,2.0,False,0,1,True,True,2016-17,CHE
263,12,12,4,2.0,-3.0,5.0,True,0,1,False,False,2016-17,MID
188,13,4,17,5.0,1.0,4.0,True,2,1,False,True,2016-17,CHE
1303,13,17,4,4.0,-1.0,5.0,False,2,1,False,True,2016-17,TOT
189,14,4,10,5.0,1.0,4.0,False,1,3,False,True,2016-17,CHE
987,14,10,4,4.0,-1.0,5.0,True,1,3,False,True,2016-17,MCI
190,15,4,19,5.0,2.0,3.0,True,1,0,True,True,2016-17,CHE
1243,15,19,4,3.0,-2.0,5.0,False,1,0,False,False,2016-17,WBA
419,16,15,4,2.0,-3.0,5.0,True,0,1,False,False,2016-17,SUD
191,16,4,15,5.0,3.0,2.0,False,0,1,True,True,2016-17,CHE
193,18,4,2,5.0,2.0,3.0,True,3,0,True,True,2016-17,CHE
